idVenta,FechaPedido,FechaEntrega,TipoCliente,TipoInstitucion,Cliente,Ciudad,Direccion,TipoAdquisicion,TipoCompra,precio_unitario,Cantidad,CodEquipo,MontoTotal
532469,2020-09-25,2021-07-16,Institución,Privada,"Blanch, Cerezo and Alarcón",Tarija,"Camino de Bienvenida Aguiló 85
Málaga, 28975",Compra directa,Tienda,3500,54,QP-QP200,189000
573450,2023-09-25,2023-11-01,Persona,NaN,Amaya Palacio Albero,Santa Cruz,"Callejón Fausto Garmendia 83 Puerta 2 
Huelva, 01187",Licitación,en Línea,3300,58,QP-SK105,191400
893698,2024-01-14,2024-02-22,Institución,Pública,Gobierno Autónomo Municipal de Cobija,Chuquisaca,"C. Poncio Duran 64
Vizcaya, 51673",Licitación,Tienda,3500,41,QP-NY50,143500
797734,2021-03-03,2021-03-28,Institución,Privada,Gargallo Inc,Beni,"Alameda de Eloísa Escalona 47
Lugo, 09771",Compra directa,Tienda,6500,14,QP-KC500,91000
810341,2022-08-29,2024-05-11,Persona,NaN,Jorge Esteban-Cánovas,Chuquisaca,"Glorieta Leonor Rodríguez 29 Piso 7 
Girona, 20613",Compra directa,Tienda,3300,4,QP-SK105,13200
163750,2020-09-25,2023-10-04,Institución,Pública,Gobierno Autónomo Departamental de Oruro,La Paz,"Glorieta de Loida Castillo 2 Piso 7 
La Coruña, 16346",Licitación,en Línea,3500,7,QP-QP200,24500
181084,2021-03-16,2023-06-07,Persona,NaN,Aurelia Álvaro Rocha,Beni,"Via de Nuria Comas 38 Puerta 2 
Las Palmas, 33625",Compra directa,Tienda,1800,32,QP-TINKU300,57600
102082,2023-07-24,2024-02-01,Institución,Pública,Gobierno Autónomo Departamental de Cochabamba,Potosi,"Callejón de Victoriano Briones 1 Apt. 01 
Vizcaya, 36308",Compra directa,en Línea,3500,54,QP-QP200,189000
763596,2023-02-03,2023-03-01,Institución,Privada,Coll-Uría,Santa Cruz,"Vial de José María Alegre 52
Cantabria, 51367",Compra directa,Tienda,9500,24,QP-SC1000,228000
435086,2020-09-16,2023-06-17,Persona,NaN,Íñigo del Gomila,Tarija,"Pasadizo de Isabel Cabanillas 83
Segovia, 39946",Compra directa,Tienda,3500,13,QP-NY50,45500
