idVenta,FechaPedido,FechaEntrega,TipoCliente,TipoInstitucion,Cliente,Ciudad,Direccion,TipoAdquisicion,TipoCompra,precio_unitario,Cantidad,CodEquipo,MontoTotal
633177,2023-11-26,2023-12-17,Institución,Pública,Gobierno Autónomo Departamental de Santa Cruz,Chuquisaca,"Calle Leandro Manzanares 47 Piso 6 
Albacete, 12800",Licitación,Tienda,3300,53,QP-SK105,174900
597849,2022-12-03,2023-06-15,Institución,Pública,Gobierno Autónomo Municipal de Tarija,Santa Cruz,"Urbanización de Rodrigo Bellido 87
Jaén, 45297",Licitación,en Línea,9000,90,QP-AIOB300,810000
636508,2024-02-14,2024-02-26,Persona,NaN,Wilfredo Alfonso Saez,Beni,"Callejón de Roxana Sureda 63
León, 05502",Compra directa,Tienda,9500,100,QP-SC1000,950000
230795,2021-01-19,2022-11-25,Institución,Privada,Hnos Pujol S.L.,Pando,"Ronda Haydée Barberá 959
Huelva, 03106",Compra directa,Tienda,6500,51,QP-KC500,331500
790925,2020-04-11,2022-11-21,Institución,Privada,Zoraida Acedo Aragonés S.L.L.,Chuquisaca,"Callejón de Porfirio Bonilla 506 Apt. 56 
Tarragona, 03964",Licitación,en Línea,3000,18,QP-K101,54000
904053,2019-07-13,2023-11-24,Institución,Pública,Gobierno Autónomo Municipal de Cobija,Tarija,"C. Ana Mascaró 7
Ciudad, 07424",Licitación,Tienda,3500,32,QP-CPE250,112000
768462,2023-01-25,2024-05-08,Institución,Pública,Gobierno Autónomo Departamental de Tarija,La Paz,"Plaza de Heriberto Moliner 654 Puerta 7 
Toledo, 11164",Compra directa,Tienda,1800,96,QP-TINKU300,172800
695127,2023-07-05,2023-09-10,Institución,Pública,Gobierno Autónomo Departamental de Cochabamba,Pando,"Urbanización de Noelia Giralt 14 Piso 4 
Zaragoza, 36750",Licitación,en Línea,3500,60,QP-CPE250,210000
746178,2019-07-22,2024-06-06,Institución,Pública,Gobierno Autónomo Departamental de La Paz,Cochabamba,"Paseo Gabriela Arana 8 Apt. 15 
Girona, 32952",Compra directa,en Línea,7500,16,QP-SC700,120000
902833,2020-05-21,2023-09-21,Persona,NaN,Rafael Pera Folch,Santa Cruz,"Pasaje Lupe Casas 31
La Coruña, 24998",Licitación,Tienda,3500,41,QP-NY50,143500
595745,2021-05-02,2022-12-16,Institución,Pública,Gobierno Autónomo Departamental de Chuquisaca,Oruro,"Calle de Morena Velasco 42 Apt. 01 
Sevilla, 07005",Compra directa,Tienda,3200,45,QP-QP100,144000
303054,2023-05-25,2024-02-05,Institución,Pública,Gobierno Autónomo Departamental de Pando,La Paz,"C. de Josefa Sarabia 68
Santa Cruz de Tenerife, 48238",Licitación,Tienda,9500,52,QP-SC1000,494000
314747,2022-05-21,2023-02-07,Persona,NaN,Sebastian Arana Santiago,Tarija,"Via Mateo Burgos 37 Piso 4 
Zaragoza, 23733",Licitación,Tienda,3500,46,QP-QP200,161000
157929,2021-03-07,2024-03-28,Institución,Privada,Barceló y asociados S.Com.,Tarija,"Pasadizo María Cristina Flores 22 Apt. 67 
Baleares, 06100",Compra directa,Tienda,1800,15,QP-TINKU300,27000
468803,2021-10-16,2022-10-17,Persona,NaN,Celestino Sanz Mosquera,Pando,"Calle Aitana Gil 56
Castellón, 44275",Licitación,en Línea,3300,71,QP-SK105,234300
627884,2021-01-23,2021-09-15,Institución,Pública,Gobierno Autónomo Municipal de Tarija,Tarija,"C. de Maximiano Yáñez 36
La Coruña, 15115",Licitación,Tienda,6500,56,QP-KC500,364000
234797,2023-08-06,2024-05-30,Persona,NaN,Gerónimo Pineda Carbajo,Chuquisaca,"Via de Maximino Manjón 3 Piso 3 
Valencia, 03970",Compra directa,en Línea,3200,33,QP-QP100,105600
516343,2022-06-30,2022-11-08,Persona,NaN,Melania Martín Cañete,Chuquisaca,"C. Rebeca Heras 454 Apt. 77 
Cáceres, 27296",Licitación,Tienda,9000,56,QP-AIOB300,504000
754068,2024-03-06,2024-04-03,Institución,Pública,Gobierno Autónomo Departamental de La Paz,Pando,"Acceso de Felisa Puig 18 Puerta 5 
Lleida, 43433",Compra directa,Tienda,3500,49,QP-QP200,171500
158997,2023-09-06,2024-04-28,Persona,NaN,Guiomar de Giralt,Potosi,"Via de Isa Gilabert 77 Piso 3 
Madrid, 12629",Compra directa,Tienda,1200,65,QP-HEKA120,78000
274774,2022-03-03,2022-04-17,Institución,Privada,Suministros Inteligentes S.C.P,Chuquisaca,"Cuesta Pío Pujadas 7
Madrid, 13693",Licitación,en Línea,3000,85,QP-K101,255000
458334,2020-10-12,2021-04-28,Persona,NaN,Rufina del Ruano,Santa Cruz,"C. Chema Gras 16
Madrid, 40569",Compra directa,Tienda,8500,70,QP-AIOB100,595000
485564,2022-06-03,2023-09-21,Persona,NaN,Maricela Farré Albero,Tarija,"Acceso de Silvio Montoya 91 Piso 8 
Girona, 42524",Licitación,en Línea,1800,40,QP-TINKU300,72000
